GUID,Title,Doc Type,Body Length,Overall Status,Tool1 Status,Tool1 Issues,Tool2 Status,Tool2 Issues,Tool3 Status,Tool3 Issues,Tool4 Status,Tool4 Issues
60a41ea9-120a-e55c-eec7-14fb0b0cc90b,AHT Study v. QA Audit,Spreadsheet,250752,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
ffbfd4a5-9d60-fd21-bfa4-995ad23e5881,Internet Domain Assessor - Dutch (BE),Spreadsheet,250749,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
aaf19168-0aa1-c2b2-062c-b78277dcafa4,2020-04-01- Record Retention Schedule - Q2,Spreadsheet,250748,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
7e2c73ac-95e5-2aac-452d-f64adf5952f2,TIP Barclays Internal Quality - Jun EOM.csv,Spreadsheet,250746,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
39d8a726-c218-d74e-47b0-3519bd08226d,2020-02-10-Q1 -  Record Retention Results Capture,Spreadsheet,250744,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
7fb20645-ffaa-63bc-1b9e-fe90ba9c776b,AdsDomainQualityRatingProgramGerman(CH)-Applicationdatareport-2025-07-28T163937.0380530000,Spreadsheet,250744,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
1643fc1b-52b8-5327-fdb8-48de3f53092f,AdsDomainQualityRatingProgramEnglish(IE)-Applicationdatareport-2025-06-18T165411.3299170000,Spreadsheet,250742,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
27eab4ae-939b-0c85-3670-f7e96f5ed98c,PersonalizedInternetAssessor-English(US)-Applicationdatareport-2025-04-22T165714.2731410000 (2),Spreadsheet,250740,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
1a9185f9-e156-e2d8-c0d0-25a10e94938e,Internet Domain Assessor - Dutch (BE),Spreadsheet,250740,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
9fc4d8c7-a01b-8b5f-9e94-b28ab8877ad7,TIP Barclays Care | Care Customer Aspiration QA form (Responses) | YTD 2025,Spreadsheet,250736,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
a5e7432d-e67b-6f06-49ee-3c1f6b804a92,AdsDomainQualityRatingProgramGerman(CH)-Applicationdatareport-2025-08-12T164326.7837640000,Spreadsheet,250736,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
f652b673-ac4d-0066-ab95-76987d737e94,PersonalizedInternetAdsAssessor-German(DE)-Applicationdatareport-2025-02-02T161622.8312300000,Spreadsheet,250735,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
